"Statistic","Month","Consumer Item","UNIT","VALUE"
"National Average Price","1997M01","Butter per lb.","IEP","1.6"
"National Average Price","1997M01","Large (size 2) eggs per dozen","IEP","1.483"
"National Average Price","1997M01","Medium (size 3) eggs per dozen","IEP","1.336"
"National Average Price","1997M01","Bread white sliced, large (800g)","IEP","0.732"
"National Average Price","1997M01","Bread brown sliced, large (800g)","IEP","0.816"
"National Average Price","1997M01","Bread white sliced, small (400g)","IEP","0.549"
"National Average Price","1997M01","White, plain flour per 2 kgs.","IEP","0.951"
"National Average Price","1997M01","White, self-raising flour per 2 kgs.","IEP","0.955"
"National Average Price","1997M01","Brown, wholemeal flour per 2 kgs.","IEP","0.987"
"National Average Price","1997M01","White granulated sugar per kg.","IEP","0.887"
"National Average Price","1997M01","Jam per lb.","IEP","1.012"
"National Average Price","1997M01","Honey per lb.","IEP","1.59"
"National Average Price","1997M01","Marmalade per lb.","IEP","1.003"
"National Average Price","1997M01","Stout - take home (6 x 250ml)","IEP","3.982"
"National Average Price","1997M01","Lager - take home (4 x 330ml)","IEP","3.923"
"National Average Price","1997M01","Ale - take home (6 x 250ml)","IEP","3.862"
"National Average Price","1997M01","Cider - take home ( 500ml can)","IEP","1.227"
"National Average Price","1997M01","Whiskey - take home (70cl bottle)","IEP","13.159"
"National Average Price","1997M01","Brandy - take home (70cl bottle)","IEP","17.434"
"National Average Price","1997M01","Vodka - take home (70cl bottle)","IEP","12.022"
"National Average Price","1997M01","Sherry - take home (75cl bottle)","IEP","7.678"
"National Average Price","1997M01","Stout - draught bar (1 pint)","IEP","1.98"
"National Average Price","1997M01","Lager - draught lounge (1/2 pint)","IEP","1.245"
"National Average Price","1997M01","Lager - draught lounge (1 pint)","IEP","2.184"
"National Average Price","1997M01","Lager - bottled bar (330ml bottle)","IEP","2.085"
"National Average Price","1997M01","Ale - draught bar (1/2 pint)","IEP","1.154"
"National Average Price","1997M01","Ale - draught bar (1 pint)","IEP","2.015"
"National Average Price","1997M01","Cider - bar (330ml bottle)","IEP","2.206"
"National Average Price","1997M01","Plain cigarettes, standard size per 20 pk.","IEP","2.898"
"National Average Price","1997M01","Filtered cigarettes, standard size per 20 pk.","IEP","2.907"
"National Average Price","1997M01","Leaded petrol per ltr.","IEP","0.646"
"National Average Price","1997M01","Petrol - unleaded per ltr.","IEP","0.603"
"National Average Price","1997M01","Liquid petroleum gas per ltr.","IEP","0.377"
"National Average Price","1997M01","Diesel per ltr.","IEP","0.58"
"National Average Price","1997M02","Round steak per kg.","IEP","6.175"
"National Average Price","1997M02","Sirloin steak per kg.","IEP","8.276"
"National Average Price","1997M02","Rib steak per kg.","IEP","4.077"
"National Average Price","1997M02","Leg beef (boneless) per kg.","IEP","4.252"
"National Average Price","1997M02","Brisket pot roast per kg.","IEP","4.041"
"National Average Price","1997M02","Lamb whole leg per kg.","IEP","5.931"
"National Average Price","1997M02","Lamb loin chops per kg.","IEP","8.745"
"National Average Price","1997M02","Lamb gigot chops per kg.","IEP","6.144"
"National Average Price","1997M02","Lamb - neck per kg.","IEP","2.602"
"National Average Price","1997M02","Lambs liver per kg.","IEP","3.409"
"National Average Price","1997M02","Whole leg of pork per kg.","IEP","3.842"
"National Average Price","1997M02","Pork loin chops per kg.","IEP","5.766"
"National Average Price","1997M02","Shoulder roast of pork per kg.","IEP","3.27"
"National Average Price","1997M02","Pork steak per kg.","IEP","8.258"
"National Average Price","1997M02","Best back rashers per kg.","IEP","6.317"
"National Average Price","1997M02","Streaky rashers per kg.","IEP","3.781"
"National Average Price","1997M02","Ham fillet per kg.","IEP","5.698"
"National Average Price","1997M02","Cooked ham per kg.","IEP","8.208"
"National Average Price","1997M02","Pork sausages per kg.","IEP","2.877"
"National Average Price","1997M02","Black pudding per kg.","IEP","2.909"
"National Average Price","1997M02","Fillet of whiting per kg.","IEP","3.786"
"National Average Price","1997M02","Cod cutlets per kg.","IEP","5.935"
"National Average Price","1997M02","Fillet of plaice per kg.","IEP","8.049"
"National Average Price","1997M02","Smoked kippers per kg.","IEP","3.48"
"National Average Price","1997M02","Potatoes per 5lbs","IEP","0.927"
"National Average Price","1997M02","Potatoes 10 kg.","IEP","2.625"
"National Average Price","1997M02","Tomatoes per kg.","IEP","1.431"
"National Average Price","1997M02","Onions per kg.","IEP","0.519"
"National Average Price","1997M02","Broccoli per kg.","IEP","1.705"
"National Average Price","1997M02","Carrots per kg.","IEP","0.562"
"National Average Price","1997M02","Mushrooms per kg.","IEP","2.821"
"National Average Price","1997M02","Fresh pasteurised milk per litre","IEP","0.629"
"National Average Price","1997M02","Irish cheddar per kg.","IEP","5.69"
"National Average Price","1997M02","Butter per lb.","IEP","1.6"
"National Average Price","1997M02","Large (size 2) eggs per dozen","IEP","1.508"
"National Average Price","1997M02","Medium (size 3) eggs per dozen","IEP","1.383"
"National Average Price","1997M02","Bread white sliced, large (800g)","IEP","0.737"
"National Average Price","1997M02","Bread brown sliced, large (800g)","IEP","0.815"
"National Average Price","1997M02","Bread white sliced, small (400g)","IEP","0.55"
"National Average Price","1997M02","White, plain flour per 2 kgs.","IEP","0.949"
"National Average Price","1997M02","White, self-raising flour per 2 kgs.","IEP","0.959"
"National Average Price","1997M02","Brown, wholemeal flour per 2 kgs.","IEP","0.99"
"National Average Price","1997M02","White granulated sugar per kg.","IEP","0.887"
"National Average Price","1997M02","Jam per lb.","IEP","1.016"
"National Average Price","1997M02","Honey per lb.","IEP","1.575"
"National Average Price","1997M02","Marmalade per lb.","IEP","1.006"
"National Average Price","1997M02","Stout - take home (6 x 250ml)","IEP","3.985"
"National Average Price","1997M02","Lager - take home (4 x 330ml)","IEP","3.937"
"National Average Price","1997M02","Ale - take home (6 x 250ml)","IEP","3.849"
"National Average Price","1997M02","Cider - take home ( 500ml can)","IEP","1.24"
"National Average Price","1997M02","Whiskey - take home (70cl bottle)","IEP","13.206"
"National Average Price","1997M02","Brandy - take home (70cl bottle)","IEP","17.564"
"National Average Price","1997M02","Vodka - take home (70cl bottle)","IEP","12.022"
"National Average Price","1997M02","Sherry - take home (75cl bottle)","IEP","7.787"
"National Average Price","1997M02","Stout - draught bar (1 pint)","IEP","1.984"
"National Average Price","1997M02","Lager - draught lounge (1/2 pint)","IEP","1.243"
"National Average Price","1997M02","Lager - draught lounge (1 pint)","IEP","2.188"
"National Average Price","1997M02","Lager - bottled bar (330ml bottle)","IEP","2.108"
"National Average Price","1997M02","Ale - draught bar (1/2 pint)","IEP","1.156"
"National Average Price","1997M02","Ale - draught bar (1 pint)","IEP","2.013"
"National Average Price","1997M02","Cider - bar (330ml bottle)","IEP","2.198"
"National Average Price","1997M02","Plain cigarettes, standard size per 20 pk.","IEP","2.971"
"National Average Price","1997M02","Filtered cigarettes, standard size per 20 pk.","IEP","2.977"
"National Average Price","1997M02","Leaded petrol per ltr.","IEP","0.665"
"National Average Price","1997M02","Petrol - unleaded per ltr.","IEP","0.618"
"National Average Price","1997M02","Liquid petroleum gas per ltr.","IEP","0.379"
"National Average Price","1997M02","Diesel per ltr.","IEP","0.591"
"National Average Price","1997M03","Round steak per kg.","IEP","6.059"
"National Average Price","1997M03","Sirloin steak per kg.","IEP","8.124"
"National Average Price","1997M03","Rib steak per kg.","IEP","4.092"
"National Average Price","1997M03","Leg beef (boneless) per kg.","IEP","4.219"
"National Average Price","1997M03","Brisket pot roast per kg.","IEP","4.067"
"National Average Price","1997M03","Lamb whole leg per kg.","IEP","5.912"
"National Average Price","1997M03","Lamb loin chops per kg.","IEP","8.814"
"National Average Price","1997M03","Lamb gigot chops per kg.","IEP","6.121"
"National Average Price","1997M03","Lamb - neck per kg.","IEP","2.61"
"National Average Price","1997M03","Lambs liver per kg.","IEP","3.401"
"National Average Price","1997M03","Whole leg of pork per kg.","IEP","3.849"
"National Average Price","1997M03","Pork loin chops per kg.","IEP","5.821"
"National Average Price","1997M03","Shoulder roast of pork per kg.","IEP","3.31"
"National Average Price","1997M03","Pork steak per kg.","IEP","8.438"
"National Average Price","1997M03","Best back rashers per kg.","IEP","6.351"
"National Average Price","1997M03","Streaky rashers per kg.","IEP","3.928"
"National Average Price","1997M03","Ham fillet per kg.","IEP","5.647"
"National Average Price","1997M03","Cooked ham per kg.","IEP","8.221"
"National Average Price","1997M03","Pork sausages per kg.","IEP","2.909"
"National Average Price","1997M03","Black pudding per kg.","IEP","2.92"
"National Average Price","1997M03","Fillet of whiting per kg.","IEP","4.388"
"National Average Price","1997M03","Cod cutlets per kg.","IEP","6.363"
"National Average Price","1997M03","Fillet of plaice per kg.","IEP","8.199"
"National Average Price","1997M03","Smoked kippers per kg.","IEP","3.542"
"National Average Price","1997M03","Potatoes per 5lbs","IEP","0.936"
"National Average Price","1997M03","Potatoes 10 kg.","IEP","2.625"
"National Average Price","1997M03","Tomatoes per kg.","IEP","1.489"
"National Average Price","1997M03","Onions per kg.","IEP","0.527"
"National Average Price","1997M03","Broccoli per kg.","IEP","1.539"
"National Average Price","1997M03","Carrots per kg.","IEP","0.599"
"National Average Price","1997M03","Mushrooms per kg.","IEP","2.837"
"National Average Price","1997M03","Fresh pasteurised milk per litre","IEP","0.629"
"National Average Price","1997M03","Irish cheddar per kg.","IEP","5.748"
"National Average Price","1997M03","Butter per lb.","IEP","1.6"
"National Average Price","1997M03","Large (size 2) eggs per dozen","IEP","1.569"
"National Average Price","1997M03","Medium (size 3) eggs per dozen","IEP","1.383"
"National Average Price","1997M03","Bread white sliced, large (800g)","IEP","0.739"
"National Average Price","1997M03","Bread brown sliced, large (800g)","IEP","0.818"
"National Average Price","1997M03","Bread white sliced, small (400g)","IEP","0.55"
"National Average Price","1997M03","White, plain flour per 2 kgs.","IEP","0.951"
"National Average Price","1997M03","White, self-raising flour per 2 kgs.","IEP","0.954"
"National Average Price","1997M03","Brown, wholemeal flour per 2 kgs.","IEP","0.989"
"National Average Price","1997M03","White granulated sugar per kg.","IEP","0.887"
"National Average Price","1997M03","Jam per lb.","IEP","1.019"
"National Average Price","1997M03","Honey per lb.","IEP","1.598"
"National Average Price","1997M03","Marmalade per lb.","IEP","1.019"
"National Average Price","1997M03","Stout - take home (6 x 250ml)","IEP","3.983"
"National Average Price","1997M03","Lager - take home (4 x 330ml)","IEP","3.968"
"National Average Price","1997M03","Ale - take home (6 x 250ml)","IEP","3.868"
"National Average Price","1997M03","Cider - take home ( 500ml can)","IEP","1.223"
"National Average Price","1997M03","Whiskey - take home (70cl bottle)","IEP","13.249"
"National Average Price","1997M03","Brandy - take home (70cl bottle)","IEP","17.822"
"National Average Price","1997M03","Vodka - take home (70cl bottle)","IEP","11.982"
"National Average Price","1997M03","Sherry - take home (75cl bottle)","IEP","7.867"
"National Average Price","1997M03","Stout - draught bar (1 pint)","IEP","1.981"
"National Average Price","1997M03","Lager - draught lounge (1/2 pint)","IEP","1.247"
"National Average Price","1997M03","Lager - draught lounge (1 pint)","IEP","2.184"
"National Average Price","1997M03","Lager - bottled bar (330ml bottle)","IEP","2.096"
"National Average Price","1997M03","Ale - draught bar (1/2 pint)","IEP","1.157"
"National Average Price","1997M03","Ale - draught bar (1 pint)","IEP","2.014"
"National Average Price","1997M03","Cider - bar (330ml bottle)","IEP","2.204"
"National Average Price","1997M03","Plain cigarettes, standard size per 20 pk.","IEP","2.972"
"National Average Price","1997M03","Filtered cigarettes, standard size per 20 pk.","IEP","2.979"
"National Average Price","1997M03","Leaded petrol per ltr.","IEP","0.666"
"National Average Price","1997M03","Petrol - unleaded per ltr.","IEP","0.62"
"National Average Price","1997M03","Liquid petroleum gas per ltr.","IEP","0.382"
"National Average Price","1997M03","Diesel per ltr.","IEP","0.583"
"National Average Price","1997M04","Round steak per kg.","IEP","6.161"
"National Average Price","1997M04","Sirloin steak per kg.","IEP","8.503"
"National Average Price","1997M04","Rib steak per kg.","IEP","4.047"
"National Average Price","1997M04","Leg beef (boneless) per kg.","IEP","4.283"
"National Average Price","1997M04","Brisket pot roast per kg.","IEP","4.053"
"National Average Price","1997M04","Lamb whole leg per kg.","IEP","6.242"
"National Average Price","1997M04","Lamb loin chops per kg.","IEP","9.169"
"National Average Price","1997M04","Lamb gigot chops per kg.","IEP","6.456"
"National Average Price","1997M04","Lamb - neck per kg.","IEP","2.568"
"National Average Price","1997M04","Lambs liver per kg.","IEP","3.471"
"National Average Price","1997M04","Whole leg of pork per kg.","IEP","3.82"
"National Average Price","1997M04","Pork loin chops per kg.","IEP","5.773"
"National Average Price","1997M04","Shoulder roast of pork per kg.","IEP","3.329"
"National Average Price","1997M04","Pork steak per kg.","IEP","8.4"
"National Average Price","1997M04","Best back rashers per kg.","IEP","6.372"
"National Average Price","1997M04","Streaky rashers per kg.","IEP","3.951"
"National Average Price","1997M04","Ham fillet per kg.","IEP","5.717"
"National Average Price","1997M04","Cooked ham per kg.","IEP","8.208"
"National Average Price","1997M04","Pork sausages per kg.","IEP","2.904"
"National Average Price","1997M04","Black pudding per kg.","IEP","2.928"
"National Average Price","1997M04","Fillet of whiting per kg.","IEP","4.353"
"National Average Price","1997M04","Cod cutlets per kg.","IEP","6.315"
"National Average Price","1997M04","Fillet of plaice per kg.","IEP","8.148"
"National Average Price","1997M04","Smoked kippers per kg.","IEP","3.546"
"National Average Price","1997M04","Potatoes per 5lbs","IEP","0.917"
"National Average Price","1997M04","Potatoes 10 kg.","IEP","2.588"
"National Average Price","1997M04","Tomatoes per kg.","IEP","1.847"
"National Average Price","1997M04","Onions per kg.","IEP","0.548"
"National Average Price","1997M04","Broccoli per kg.","IEP","1.946"
"National Average Price","1997M04","Carrots per kg.","IEP","0.607"
"National Average Price","1997M04","Mushrooms per kg.","IEP","2.927"
"National Average Price","1997M04","Fresh pasteurised milk per litre","IEP","0.629"
"National Average Price","1997M04","Irish cheddar per kg.","IEP","5.716"
"National Average Price","1997M04","Butter per lb.","IEP","1.601"
"National Average Price","1997M04","Large (size 2) eggs per dozen","IEP","1.579"
"National Average Price","1997M04","Medium (size 3) eggs per dozen","IEP","1.394"
"National Average Price","1997M04","Bread white sliced, large (800g)","IEP","0.738"
"National Average Price","1997M04","Bread brown sliced, large (800g)","IEP","0.82"
"National Average Price","1997M04","Bread white sliced, small (400g)","IEP","0.55"
"National Average Price","1997M04","White, plain flour per 2 kgs.","IEP","0.951"
"National Average Price","1997M04","White, self-raising flour per 2 kgs.","IEP","0.954"
"National Average Price","1997M04","Brown, wholemeal flour per 2 kgs.","IEP","0.985"
"National Average Price","1997M04","White granulated sugar per kg.","IEP","0.888"
"National Average Price","1997M04","Jam per lb.","IEP","1.013"
"National Average Price","1997M04","Honey per lb.","IEP","1.633"
"National Average Price","1997M04","Marmalade per lb.","IEP","1.018"
"National Average Price","1997M04","Stout - take home (6 x 250ml)","IEP","3.977"
"National Average Price","1997M04","Lager - take home (4 x 330ml)","IEP","3.958"
"National Average Price","1997M04","Ale - take home (6 x 250ml)","IEP","3.93"
"National Average Price","1997M04","Cider - take home ( 500ml can)","IEP","1.232"
"National Average Price","1997M04","Whiskey - take home (70cl bottle)","IEP","13.202"
"National Average Price","1997M04","Brandy - take home (70cl bottle)","IEP","17.884"
"National Average Price","1997M04","Vodka - take home (70cl bottle)","IEP","12.027"
"National Average Price","1997M04","Sherry - take home (75cl bottle)","IEP","7.895"
"National Average Price","1997M04","Stout - draught bar (1 pint)","IEP","1.977"
"National Average Price","1997M04","Lager - draught lounge (1/2 pint)","IEP","1.25"
"National Average Price","1997M04","Lager - draught lounge (1 pint)","IEP","2.186"
"National Average Price","1997M04","Lager - bottled bar (330ml bottle)","IEP","2.108"
"National Average Price","1997M04","Ale - draught bar (1/2 pint)","IEP","1.157"
"National Average Price","1997M04","Ale - draught bar (1 pint)","IEP","2.011"
"National Average Price","1997M04","Cider - bar (330ml bottle)","IEP","2.206"
"National Average Price","1997M04","Plain cigarettes, standard size per 20 pk.","IEP","2.964"
"National Average Price","1997M04","Filtered cigarettes, standard size per 20 pk.","IEP","2.978"
"National Average Price","1997M04","Leaded petrol per ltr.","IEP","0.667"
"National Average Price","1997M04","Petrol - unleaded per ltr.","IEP","0.618"
"National Average Price","1997M04","Liquid petroleum gas per ltr.","IEP","0.379"
"National Average Price","1997M04","Diesel per ltr.","IEP","0.574"
"National Average Price","1997M05","Round steak per kg.","IEP","6.138"
"National Average Price","1997M05","Sirloin steak per kg.","IEP","8.397"
"National Average Price","1997M05","Rib steak per kg.","IEP","3.946"
"National Average Price","1997M05","Leg beef (boneless) per kg.","IEP","4.268"
"National Average Price","1997M05","Brisket pot roast per kg.","IEP","4.055"
"National Average Price","1997M05","Lamb whole leg per kg.","IEP","6.78"
"National Average Price","1997M05","Lamb loin chops per kg.","IEP","9.154"
"National Average Price","1997M05","Lamb gigot chops per kg.","IEP","6.347"
"National Average Price","1997M05","Lamb - neck per kg.","IEP","2.53"
"National Average Price","1997M05","Lambs liver per kg.","IEP","3.448"
"National Average Price","1997M05","Whole leg of pork per kg.","IEP","4.026"
"National Average Price","1997M05","Pork loin chops per kg.","IEP","6.138"
"National Average Price","1997M05","Shoulder roast of pork per kg.","IEP","3.417"
"National Average Price","1997M05","Pork steak per kg.","IEP","8.606"
"National Average Price","1997M05","Best back rashers per kg.","IEP","6.592"
"National Average Price","1997M05","Streaky rashers per kg.","IEP","4.142"
"National Average Price","1997M05","Ham fillet per kg.","IEP","5.795"
"National Average Price","1997M05","Cooked ham per kg.","IEP","8.431"
"National Average Price","1997M05","Pork sausages per kg.","IEP","2.98"
"National Average Price","1997M05","Black pudding per kg.","IEP","2.988"
"National Average Price","1997M05","Fillet of whiting per kg.","IEP","4.408"
"National Average Price","1997M05","Cod cutlets per kg.","IEP","6.434"
"National Average Price","1997M05","Fillet of plaice per kg.","IEP","8.197"
"National Average Price","1997M05","Smoked kippers per kg.","IEP","3.598"
"National Average Price","1997M05","Potatoes per 5lbs","IEP","0.948"
"National Average Price","1997M05","Potatoes 10 kg.","IEP","2.681"
"National Average Price","1997M05","Tomatoes per kg.","IEP","1.667"
"National Average Price","1997M05","Onions per kg.","IEP","0.585"
"National Average Price","1997M05","Broccoli per kg.","IEP","1.77"
"National Average Price","1997M05","Carrots per kg.","IEP","0.662"
"National Average Price","1997M05","Mushrooms per kg.","IEP","2.955"
"National Average Price","1997M05","Fresh pasteurised milk per litre","IEP","0.629"
"National Average Price","1997M05","Irish cheddar per kg.","IEP","5.753"
"National Average Price","1997M05","Butter per lb.","IEP","1.603"
"National Average Price","1997M05","Large (size 2) eggs per dozen","IEP","1.588"
"National Average Price","1997M05","Medium (size 3) eggs per dozen","IEP","1.405"
"National Average Price","1997M05","Bread white sliced, large (800g)","IEP","0.738"
"National Average Price","1997M05","Bread brown sliced, large (800g)","IEP","0.815"
"National Average Price","1997M05","Bread white sliced, small (400g)","IEP","0.551"
"National Average Price","1997M05","White, plain flour per 2 kgs.","IEP","0.947"
"National Average Price","1997M05","White, self-raising flour per 2 kgs.","IEP","0.956"
"National Average Price","1997M05","Brown, wholemeal flour per 2 kgs.","IEP","0.985"
"National Average Price","1997M05","White granulated sugar per kg.","IEP","0.889"
"National Average Price","1997M05","Jam per lb.","IEP","1.017"
"National Average Price","1997M05","Honey per lb.","IEP","1.617"
"National Average Price","1997M05","Marmalade per lb.","IEP","1.02"
"National Average Price","1997M05","Stout - take home (6 x 250ml)","IEP","4.003"
"National Average Price","1997M05","Lager - take home (4 x 330ml)","IEP","3.97"
"National Average Price","1997M05","Ale - take home (6 x 250ml)","IEP","3.954"
"National Average Price","1997M05","Cider - take home ( 500ml can)","IEP","1.241"
"National Average Price","1997M05","Whiskey - take home (70cl bottle)","IEP","13.18"
"National Average Price","1997M05","Brandy - take home (70cl bottle)","IEP","17.911"
"National Average Price","1997M05","Vodka - take home (70cl bottle)","IEP","12.044"
"National Average Price","1997M05","Sherry - take home (75cl bottle)","IEP","7.947"
"National Average Price","1997M05","Stout - draught bar (1 pint)","IEP","1.976"
"National Average Price","1997M05","Lager - draught lounge (1/2 pint)","IEP","1.25"
"National Average Price","1997M05","Lager - draught lounge (1 pint)","IEP","2.187"
"National Average Price","1997M05","Lager - bottled bar (330ml bottle)","IEP","2.108"
"National Average Price","1997M05","Ale - draught bar (1/2 pint)","IEP","1.157"
"National Average Price","1997M05","Ale - draught bar (1 pint)","IEP","2.008"
"National Average Price","1997M05","Cider - bar (330ml bottle)","IEP","2.23"
"National Average Price","1997M05","Plain cigarettes, standard size per 20 pk.","IEP","2.973"
"National Average Price","1997M05","Filtered cigarettes, standard size per 20 pk.","IEP","2.954"
"National Average Price","1997M05","Leaded petrol per ltr.","IEP","0.665"
"National Average Price","1997M05","Petrol - unleaded per ltr.","IEP","0.613"
"National Average Price","1997M05","Liquid petroleum gas per ltr.","IEP","0.38"
"National Average Price","1997M05","Diesel per ltr.","IEP","0.567"
"National Average Price","1997M06","Round steak per kg.","IEP","6.216"
"National Average Price","1997M06","Sirloin steak per kg.","IEP","8.442"
"National Average Price","1997M06","Rib steak per kg.","IEP","3.897"
"National Average Price","1997M06","Leg beef (boneless) per kg.","IEP","4.203"
"National Average Price","1997M06","Brisket pot roast per kg.","IEP","4.079"
"National Average Price","1997M06","Lamb whole leg per kg.","IEP","6.058"
"National Average Price","1997M06","Lamb loin chops per kg.","IEP","8.497"
"National Average Price","1997M06","Lamb gigot chops per kg.","IEP","6.016"
"National Average Price","1997M06","Lamb - neck per kg.","IEP","2.589"
"National Average Price","1997M06","Lambs liver per kg.","IEP","3.421"
"National Average Price","1997M06","Whole leg of pork per kg.","IEP","4.103"
"National Average Price","1997M06","Pork loin chops per kg.","IEP","6.191"
"National Average Price","1997M06","Shoulder roast of pork per kg.","IEP","3.454"
"National Average Price","1997M06","Pork steak per kg.","IEP","8.736"
"National Average Price","1997M06","Best back rashers per kg.","IEP","6.669"
"National Average Price","1997M06","Streaky rashers per kg.","IEP","4.184"
"National Average Price","1997M06","Ham fillet per kg.","IEP","5.793"
"National Average Price","1997M06","Cooked ham per kg.","IEP","8.395"
"National Average Price","1997M06","Pork sausages per kg.","IEP","2.991"
"National Average Price","1997M06","Black pudding per kg.","IEP","2.978"
"National Average Price","1997M06","Fillet of whiting per kg.","IEP","4.492"
"National Average Price","1997M06","Cod cutlets per kg.","IEP","6.586"
"National Average Price","1997M06","Fillet of plaice per kg.","IEP","8.208"
"National Average Price","1997M06","Smoked kippers per kg.","IEP","3.631"
"National Average Price","1997M06","Potatoes per 5lbs","IEP","1.102"
"National Average Price","1997M06","Potatoes 10 kg.","IEP","2.937"
"National Average Price","1997M06","Tomatoes per kg.","IEP","1.616"
"National Average Price","1997M06","Onions per kg.","IEP","0.743"
"National Average Price","1997M06","Broccoli per kg.","IEP","2.157"
"National Average Price","1997M06","Carrots per kg.","IEP","0.783"
"National Average Price","1997M06","Mushrooms per kg.","IEP","2.925"
"National Average Price","1997M06","Fresh pasteurised milk per litre","IEP","0.629"
"National Average Price","1997M06","Irish cheddar per kg.","IEP","5.742"
"National Average Price","1997M06","Butter per lb.","IEP","1.602"
"National Average Price","1997M06","Large (size 2) eggs per dozen","IEP","1.599"
"National Average Price","1997M06","Medium (size 3) eggs per dozen","IEP","1.408"
"National Average Price","1997M06","Bread white sliced, large (800g)","IEP","0.737"
"National Average Price","1997M06","Bread brown sliced, large (800g)","IEP","0.816"
"National Average Price","1997M06","Bread white sliced, small (400g)","IEP","0.551"
"National Average Price","1997M06","White, plain flour per 2 kgs.","IEP","0.944"
"National Average Price","1997M06","White, self-raising flour per 2 kgs.","IEP","0.954"
"National Average Price","1997M06","Brown, wholemeal flour per 2 kgs.","IEP","0.985"
"National Average Price","1997M06","White granulated sugar per kg.","IEP","0.89"
"National Average Price","1997M06","Jam per lb.","IEP","1.014"
"National Average Price","1997M06","Honey per lb.","IEP","1.602"
"National Average Price","1997M06","Marmalade per lb.","IEP","1.025"
"National Average Price","1997M06","Stout - take home (6 x 250ml)","IEP","3.984"
"National Average Price","1997M06","Lager - take home (4 x 330ml)","IEP","3.959"
"National Average Price","1997M06","Ale - take home (6 x 250ml)","IEP","3.922"
"National Average Price","1997M06","Cider - take home ( 500ml can)","IEP","1.233"
"National Average Price","1997M06","Whiskey - take home (70cl bottle)","IEP","13.165"
"National Average Price","1997M06","Brandy - take home (70cl bottle)","IEP","17.903"
"National Average Price","1997M06","Vodka - take home (70cl bottle)","IEP","12.061"
"National Average Price","1997M06","Sherry - take home (75cl bottle)","IEP","7.934"
"National Average Price","1997M06","Stout - draught bar (1 pint)","IEP","1.979"
"National Average Price","1997M06","Lager - draught lounge (1/2 pint)","IEP","1.244"
"National Average Price","1997M06","Lager - draught lounge (1 pint)","IEP","2.19"
"National Average Price","1997M06","Lager - bottled bar (330ml bottle)","IEP","2.111"
"National Average Price","1997M06","Ale - draught bar (1/2 pint)","IEP","1.147"
"National Average Price","1997M06","Ale - draught bar (1 pint)","IEP","2.013"
"National Average Price","1997M06","Cider - bar (330ml bottle)","IEP","2.218"
"National Average Price","1997M06","Plain cigarettes, standard size per 20 pk.","IEP","2.966"
"National Average Price","1997M06","Filtered cigarettes, standard size per 20 pk.","IEP","2.954"
"National Average Price","1997M06","Leaded petrol per ltr.","IEP","0.669"
"National Average Price","1997M06","Petrol - unleaded per ltr.","IEP","0.621"
"National Average Price","1997M06","Liquid petroleum gas per ltr.","IEP","0.381"
"National Average Price","1997M06","Diesel per ltr.","IEP","0.573"
"National Average Price","1997M07","Round steak per kg.","IEP","6.232"
"National Average Price","1997M07","Sirloin steak per kg.","IEP","8.484"
"National Average Price","1997M07","Rib steak per kg.","IEP","3.986"
