,bullocks_200-249kg,bullocks_250-299kg,bullocks_300-349kg,bullocks_350-399kg,bullocks_400-449kg,bullocks_450-499kg,bullocks_500-549kg,bullocks_550kg+,heifers_200-249kg,heifers_250-299kg,heifers_300-349kg,heifers_350-399kg,heifers_400-449kg,target_cattle,feeding_stuffs,fertilisers,cereals,compound_feeding_stuffs_for_cattle_excluding_calves,compound_feeding_stuffs_for_pigs,compound_feeding_stuffs_for_poultry,npk_fertilisers,pk_fertilisers,electricity,motor_fuel,cattle,milk,other_goods_and_services,pigs,plant_protection_products,potatoes,poultry,seeds,sheep,straight_feeding_stuffs,straight_fertilisers,crop_output,vegetables,veterinary_expenses,cents_per_kg,eurgbp,eurusd,pbeefusdm,sunshine,rain,temp,petrol,diesel,brent_price,crude_price,all_items,food_and_non-alcoholic_beverages,ale_draught_bar_1_pint,best_back_rashers_per_kg,brandy_take_home_70cl_bottle,broccoli_per_kg,butter_per_lb,carrots_per_kg,cooked_ham_per_kg,diesel_per_ltr,ham_fillet_per_kg,irish_cheddar_per_kg,jam_per_lb,lamb_gigot_chops_per_kg,lamb_loin_chops_per_kg,lambs_liver_per_kg,marmalade_per_lb,mushrooms_per_kg,onions_per_kg,petrol_unleaded_per_ltr,pork_loin_chops_per_kg,pork_sausages_per_kg,pork_steak_per_kg,potatoes_10_kg,sherry_take_home_75cl_bottle,sirloin_steak_per_kg,stout_draught_bar_1_pint,tomatoes_per_kg,vodka_take_home_70cl_bottle,whiskey_take_home_70cl_bottle
1999-11-30,161.47,117.59,136.89,142.39,144.55,140.67,146.35,145.12,145.3,139.33,134.15,130.0,123.62,139.03307692307692,65.53511191659655,46.61371071918642,77.85338335286349,68.21050094781582,60.22353812553849,62.87541496511021,46.86008907965349,47.293427214712224,49.212938937804246,47.912469082297456,55.78398777438348,103.5406131744207,63.58672961907123,75.42559808686539,96.88601399564556,33.685647454890464,65.52884895229958,71.70914858423136,50.16743520236165,67.33983234276704,44.3995257628146,66.52851877202856,70.77909972141596,70.7349197634864,110.3525,0.6311,1.0091,87.93125,6.3,94.2,8.8,81.61,74.67,24.58,24.77,71.8,90.0,2.7940000000000005,8.6614,23.72868,2.50571,2.0294600000000003,0.93726,11.60145,0.74422,7.21995,7.6834999999999996,1.4147800000000001,6.78561,10.247630000000001,4.39801,1.37795,3.9662100000000002,0.99187,0.81026,7.311389999999999,4.02717,10.08253,5.27939,10.322560000000001,10.854690000000002,2.75209,2.2352,15.748000000000001,17.91462
1999-12-31,132.66,140.5,147.57,152.24,147.16,148.28,146.22,140.5,148.62,142.85,129.02,121.34,119.69,139.7423076923077,65.87257387291271,47.118188107922194,77.85338335286349,69.05783636331665,60.09987582959282,62.74877767414322,47.20941881720148,47.736341725568,49.212938937804246,50.3575768604949,56.09150700136465,103.85279592771042,64.24361732174758,74.98295960044014,96.88601399564556,30.866143923423866,84.82305747696795,71.70914858423136,53.27515242728671,67.41012444333361,45.20495933674321,65.90023265560858,69.66738611322619,70.66139074086323,109.6859312,0.6226,1.0075,88.875,6.1,219.5,6.4,82.2,76.445,25.47,26.09,72.7,90.2,2.7990800000000005,8.78586,23.68804,2.67335,2.02819,0.9055099999999999,11.54811,0.77216,7.30377,7.701280000000001,1.41859,6.8300600000000005,10.690859999999999,4.40309,1.3766800000000001,3.96367,1.0172700000000001,0.82042,7.37616,4.06146,10.02792,4.94284,10.27811,10.79881,2.76098,2.41173,15.72514,17.92605
2000-01-31,144.17,154.06,154.55,153.18,156.6,152.53,144.38,141.83,148.88,130.43,122.5,120.21,136.5,143.06307692307695,66.2316333944331,48.314808474003485,77.7686955121934,69.5238708418421,60.65759278430777,61.82495863653904,48.036831252708026,47.94943281801308,49.212938937804246,51.498044988468415,58.44156893395473,103.88505481221702,64.19697829485754,74.67488321388815,97.14295995499593,34.1357787204404,72.59195847295966,70.8161400737834,60.33791549193271,68.57556747072722,47.43701712849286,66.78332369702112,71.43871646227524,72.73490917883653,109.51575,0.6,0.9695,88.2,7.4,83.6,5.9,82.79,78.22,25.51,27.01,72.5,90.2,2.8143200000000004,8.76681,23.724870000000003,2.77749,2.0294600000000003,0.9067799999999999,11.603990000000001,0.8001,7.2224900000000005,7.69112,1.4008099999999999,6.87324,10.764520000000001,4.318,1.3652499999999999,3.9408100000000004,1.01981,0.8343900000000001,7.5819,4.06019,9.745980000000001,4.88188,10.40257,11.1887,2.77368,2.26441,15.713709999999999,17.92224
2000-02-29,173.69,161.93,158.48,164.08,158.16,151.46,144.34,138.61,132.87,128.6,116.35,139.21,124.07,145.52692307692305,66.68788195937255,48.92068581787516,77.7686955121934,69.86845391081242,61.16893637804309,62.57971689070229,48.66213148291896,48.18270112706379,49.212938937804246,52.65015648681429,59.762671533065806,102.65505476425557,64.65417213592029,75.97624036397842,97.2105773127197,32.31645696803089,71.98597740522192,70.8161400737834,72.49670057745074,68.74989188013228,48.11962208239737,67.0576753011912,72.90617842508574,72.85843793684346,111.5135,0.6109,0.9647,89.05,8.3,118.3,7.8,84.56,81.75,27.78,29.3,73.1,90.5,2.82829,8.79729,23.74011,2.89941,2.01803,0.92837,11.75131,0.80391,7.03199,7.72668,1.4173200000000001,7.21868,11.1379,4.401820000000001,1.3690600000000002,3.89636,1.02108,0.8369300000000001,7.35965,4.08559,9.978390000000001,4.64566,10.477500000000001,11.08964,2.7876499999999997,2.6098500000000002,15.72387,17.92986
2000-03-31,168.48,165.35,170.84,166.39,157.23,152.37,145.08,137.62,130.71,119.06,144.0,125.84,124.07,146.69538461538463,66.74930003542207,48.99232160707563,77.7686955121934,69.94330187251501,61.23756895229293,62.61834126444723,48.79587486815163,48.18860665387519,49.212938937804246,55.17793219465557,60.13046452853528,101.83297351392598,64.84729712050714,81.62607800471052,96.84737550551769,31.095661403880097,72.09316745258118,70.8161400737834,76.49677660553284,68.85322126796513,48.10452020288621,66.68349601407884,72.69124712750238,73.05108397611615,119.52975,0.601,0.9562,90.46,10.5,42.0,8.7,91.88,84.95,27.49,29.89,73.6,90.7,2.84988,8.93826,23.755349999999996,2.6568400000000003,2.02819,0.91059,11.93165,0.82804,7.034529999999999,7.74065,1.42113,7.611110000000001,11.7983,4.58216,1.4008099999999999,3.81254,0.93345,0.8712200000000001,7.256780000000001,4.0690800000000005,10.24128,4.27228,10.59942,11.23061,2.8028899999999997,2.62255,15.74546,17.92224
2000-04-30,175.97,179.54,174.35,166.12,158.9,151.16,145.96,129.88,115.52,148.74,127.08,125.84,124.07,147.93307692307692,66.73445170934416,49.221354341561685,77.7686955121934,69.84797663827116,61.23756895229293,62.59491336561833,48.91963740374007,48.26488637518925,49.212938937804246,55.041122592780226,61.13666743921766,100.65708514320141,65.1599756669811,87.25909538295846,96.66963845092945,33.1845672658772,70.99196836604365,70.8161400737834,76.6477228707435,69.13860719626537,48.550025648465464,66.95645142687908,72.86170988075816,73.7069628579148,126.1926,0.5877,0.9123,90.05,12.7,57.5,8.5,92.82,85.33,22.76,25.54,74.1,90.8,2.86766,8.884920000000001,23.79599,2.8816300000000004,2.032,0.91821,11.851640000000002,0.84455,7.212330000000001,7.729220000000001,1.42875,7.696199999999999,11.96467,4.57962,1.40843,3.7922200000000004,0.93218,0.91313,7.53999,4.09575,10.27938,3.9979600000000004,10.71372,11.51763,2.82575,2.8321,15.905479999999999,17.93113
2000-05-31,194.3,183.12,173.66,164.47,157.38,152.29,138.36,125.11,146.58,132.1,127.08,125.84,124.07,149.5661538461538,66.57584458987557,49.70666158952551,77.7686955121934,69.48432852245206,61.28641555919147,61.89334277366121,49.35380436326401,48.40366625525739,49.212938937804246,53.88027856665506,63.42584056486545,101.19820191557022,65.1067677630643,89.91227047059151,96.70344712979136,47.57343362146177,71.7115708839822,70.8161400737834,67.70637645503055,70.50227394725668,49.21249476302174,70.74013003909728,75.24077700228426,73.70843343836727,130.0075,0.6247,0.9379,90.9,13.1,66.0,13.0,93.2,85.33,27.74,28.81,74.7,92.1,2.90068,8.74522,24.01697,2.74447,2.032,0.9829800000000001,11.836400000000001,0.8318500000000001,7.246620000000001,7.708900000000001,1.4300199999999998,8.289290000000001,12.67714,4.60502,1.4008099999999999,4.01447,0.97282,0.89535,7.74065,4.1021,10.29335,4.86664,10.694669999999999,11.14171,2.86639,2.65811,15.95755,18.1229
2000-06-30,192.95,178.93,173.66,165.48,158.28,146.42,130.55,133.7,127.86,132.1,127.08,125.84,124.07,147.4553846153846,67.17112748081726,50.034067414815034,77.7686955121934,69.85786221811867,61.76375202154173,63.27052331292722,49.54044625161108,48.53555635404556,49.212938937804246,56.812661394936136,66.48688695023598,101.95472478770897,65.29332387062438,94.77421160548664,96.41559037833869,54.198772270665906,71.25637048286318,70.8161400737834,61.35394875608169,70.73212911610935,49.83116842699566,71.967382253171,74.91467434388194,73.66578660524583,135.83136875,0.6279,0.9526,88.0568181818182,14.6,64.3,15.1,94.24,85.15,29.8,31.53,75.2,92.6,2.91719,8.84555,24.075390000000002,3.0187899999999996,2.04597,1.15062,12.038329999999998,0.83947,7.53872,7.70382,1.43129,7.21995,11.26998,4.6532800000000005,1.4097000000000002,3.9471600000000002,1.0413999999999999,0.93218,7.81558,4.10083,10.61593,4.36499,10.79373,11.814810000000001,2.8740099999999997,2.27711,15.97787,18.24736
2000-07-31,199.98,189.29,180.23,164.1,151.41,142.44,138.81,128.45,127.86,132.1,127.08,125.84,129.61,149.0153846153846,67.35200708940272,49.884237630360495,77.7686955121934,70.37826738580543,61.922039760352185,62.870982659926376,49.46908317665485,48.436638779954436,49.212938937804246,58.156306335907495,64.80598685555692,103.3449786490258,65.48907640602195,94.4962346360116,96.34410917160213,57.346228581318904,70.93694414173254,70.8161400737834,57.123013734147996,70.64777859542947,49.529634232756145,72.72202368855993,75.27783412255727,73.71578634062959,143.6452,0.6177,0.9263,86.9285714285714,14.4,96.9,16.8,97.5,85.8,28.68,29.72,75.4,93.3,2.92608,9.15924,24.06015,2.96545,2.032,1.1633200000000001,12.296140000000001,0.8483600000000001,7.89813,7.67715,1.37795,7.38124,11.5951,4.63042,1.4173200000000001,4.048760000000001,1.0922,0.96012,7.80161,4.13512,10.529570000000001,5.820410000000001,10.8331,12.16279,2.8816300000000004,2.23901,16.00327,18.2753
2000-08-31,201.09,205.25,177.89,156.45,147.92,147.76,131.89,128.45,127.86,132.1,127.08,129.11,121.87,148.82461538461536,67.91489363253805,49.940234620510175,74.28757953517508,70.94315766280597,62.09393035171665,63.93790183632325,49.44413105254428,48.846088638878896,49.212938937804246,58.117301045160055,64.15035586363308,104.63221220175707,66.10392329572701,90.86040210851445,96.34604109610851,36.86871854699355,71.03770278625026,70.8161400737834,57.81495648769764,70.80593582170422,49.68266661180257,67.98055779664367,76.84905602213215,73.79593297528884,132.245545,0.6137,0.8888,86.3913043478261,13.1,79.4,16.7,94.7,85.5,30.2,31.14,75.8,93.8,2.91973,9.273539999999999,24.09063,2.5908,2.04724,1.17094,12.26312,0.8521700000000001,8.12927,7.68096,1.42875,7.3964799999999995,11.62558,4.632960000000001,1.4147800000000001,4.16814,1.08585,0.9436100000000001,7.80542,4.17068,10.374630000000002,7.02818,10.756900000000002,11.920219999999999,2.8765500000000004,2.22377,16.00581,18.29308
2000-09-30,223.29,200.54,164.47,150.27,154.86,136.79,131.89,128.45,127.86,132.1,126.05,120.13,121.79,147.57615384615383,67.91016916514963,49.95536894217224,74.28683665937974,70.77580891824456,62.33321689437151,64.11962634886089,49.40919807878947,49.2476644620548,49.212938937804246,64.59567232034603,63.834841136750406,107.09533412521289,66.4901732649007,91.01444030179043,96.30064087020826,72.5601707071642,70.92050833447078,70.8161400737834,58.5252918533948,70.92402655065605,49.73602658607534,75.17443382965263,75.6113482050142,73.76652136623956,132.38060000000002,0.5987,0.8839,82.6919047619048,9.8,97.2,14.9,93.9,87.9,33.14,33.87,76.1,93.7,2.91719,9.18464,24.07031,2.40919,2.02565,1.10363,12.58189,0.8763,8.04672,7.69747,1.42621,7.421880000000001,11.71194,4.65836,1.4376399999999998,4.09956,1.03251,0.93472,7.851140000000001,4.16814,10.761980000000001,6.422390000000001,10.764520000000001,11.75512,2.8752799999999996,2.4663399999999998,16.01089,18.324830000000002
2000-10-31,216.98,188.9,159.03,163.34,143.65,136.79,131.89,128.45,127.86,122.01,117.97,121.73,124.83,144.87923076923076,68.51085144739237,51.314431027426444,74.28683665937974,71.57018587027657,62.50325255129682,64.41152530453981,50.437225592145026,50.60003010186781,49.212938937804246,64.94089825188676,61.286121783530504,108.14634939462158,66.83635308421114,92.41229264192143,96.35859860540008,69.4755349137913,70.96481355404597,69.97187965449122,58.49865427718115,72.08736081503268,51.786358427707356,73.45362796634674,73.40274383674384,73.91725586261707,134.473,0.5859,0.8493,82.875,8.2,182.6,10.8,96.4,94.9,30.96,32.93,76.6,93.7,2.91719,9.1694,24.08301,2.61747,2.02057,1.07442,12.51839,0.93726,8.16229,7.66445,1.45288,7.47014,11.74369,4.66471,1.43637,4.15036,0.99441,0.95885,7.76732,4.1757599999999995,10.57402,5.990589999999999,10.77341,12.127229999999999,2.8714700000000004,2.61493,16.01724,18.3388
2000-11-30,204.59,171.02,178.32,154.27,143.65,136.79,131.89,128.45,119.2,116.14,120.54,123.77,130.62,143.01923076923077,68.70522953423047,53.79292843828535,74.28683665937974,72.09835827927209,62.68750937225585,64.49193998430383,52.967870019439204,51.77572206457277,49.212938937804246,64.81514985186517,59.49574484404615,110.24213627837315,66.99006480663742,95.99854965893891,96.36729226567886,70.39558343458565,71.16990384466003,69.97187965449122,63.0276764615056,71.43786180579764,54.60084537260415,74.68506875452995,73.99565776111173,73.7326980158329,139.41649999999998,0.6114,0.8724,89.7159090909091,6.6,130.9,7.7,96.8,94.9,32.55,34.26,76.9,93.9,2.92481,9.30275,24.08174,2.59842,2.0243800000000003,1.0439399999999999,12.787630000000002,0.94615,8.22452,7.74319,1.45923,7.48538,11.78687,4.59867,1.42621,4.13385,0.9804400000000001,0.95504,7.895589999999999,4.2164,10.875010000000001,5.6807099999999995,10.782300000000001,12.02055,2.8740099999999997,2.5361900000000004,16.02867,18.40484
2000-12-31,194.43,201.3,168.6,154.27,143.65,136.79,131.89,130.36,117.15,121.18,122.43,128.25,129.67,144.61307692307693,69.3659800446975,55.29627105671799,74.28683665937974,73.04384338040174,63.08261040780224,65.20934023763184,53.814745111752,52.12267176474313,49.212938937804246,62.91669831265047,54.96537159215962,111.05693326445932,67.09779438987634,96.62798158663566,96.44843309494739,69.21139195136966,71.75730530418882,69.97187965449122,68.08120520603681,71.05125525268153,57.48530435923597,74.37511427042942,73.78072646352835,73.69446292406886,140.618,0.6301,0.9424,88.15,6.7,81.6,6.5,91.5,88.0,25.66,28.4,76.9,94.5,2.921,9.36244,24.08936,2.7686,2.02692,1.02997,12.777470000000001,0.8686800000000001,8.196579999999999,7.75716,1.46304,7.80542,12.08278,4.65709,1.4224,4.15671,0.9906,0.9029699999999999,8.002270000000001,4.26339,10.927079999999998,5.868670000000001,10.817860000000001,11.87069,2.87274,2.72415,16.02105,18.40992
2001-01-31,223.66,177.67,168.6,154.27,143.65,136.79,134.74,123.04,120.31,120.48,125.78,133.15,145.32,146.7276923076923,69.7608105335874,57.35252089320504,74.28683665937974,73.42585043022338,63.546344017598486,65.65193756956145,55.962623955190004,51.690091925807316,49.212938937804246,57.52465349320649,61.76892696989093,111.5803596808084,67.63447164296291,96.0206815832602,97.05795527671458,80.10357927819328,72.08673604973963,73.37788758872352,77.7766487197979,71.2157387680073,59.661988592778044,76.77586533083871,75.52241111635902,75.15916105472233,139.98875,0.6398,0.9365,87.8068181818182,7.3,47.6,4.6,85.4,82.8,25.62,29.26,76.3,94.6,2.9019500000000003,9.288780000000001,23.98776,2.8397200000000002,2.0294600000000003,1.03378,12.88288,0.81026,8.08609,7.75462,1.46177,7.912100000000001,12.39774,4.71551,1.41859,4.16814,0.99441,0.8369300000000001,8.0137,4.28752,10.906759999999998,5.915660000000001,10.79881,12.120880000000001,2.85877,2.41427,15.93342,18.28419
